TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,DAYS_BIRTH,YEARS_EMPLOYED
0,Cash loans,M,Y,N,1,225000,578619,23229,-12347,0
0,Revolving loans,M,Y,Y,1,,270000,13500,-14048,6
0,Cash loans,M,Y,N,0,144000,753840,29340,-14639,6
0,Cash loans,F,N,Y,0,81000,98910,7785,-14591,11
0,Cash loans,F,N,Y,1,103500,521280,26779.5,-12023,0
1,Cash loans,M,Y,Y,2,202500,781920,40054.5,-11653,3
0,Cash loans,F,N,Y,1,,305221.5,20002.5,-11665,2
0,Cash loans,F,Y,N,0,202500,315000,13873.5,-10465,5
0,Cash loans,M,Y,Y,0,337500,493497,58698,-10136,3
1,Cash loans,M,Y,Y,0,202500,254700,25834.5,-9785,3
0,Cash loans,F,N,Y,0,135000,779688,36261,-21314,-1000
0,Cash loans,M,Y,Y,1,292500,1575000,43312.5,-12455,11
1,Cash loans,F,,Y,0,,187704,14958,-14699,1
0,Cash loans,M,Y,N,0,,260640,28066.5,-10683,1
1,Cash loans,M,N,Y,0,225000,622413,33894,-13110,1
0,Cash loans,M,Y,Y,2,247500,1288350,37800,-13646,17
0,Cash loans,M,,N,1,,900000,26446.5,-18104,8
0,Cash loans,M,N,N,0,225000,278613,31563,-15652,3
0,Cash loans,F,Y,N,1,315000,779688,29826,-10507,0
0,Cash loans,F,N,Y,0,,754740,22068,-15056,2
0,Cash loans,F,N,Y,1,,1044724.5,37656,-11418,9
0,Cash loans,M,Y,Y,0,,594000,47061,-12428,2
0,Cash loans,M,,N,0,162000,450000,20979,-8476,3
0,Cash loans,F,,Y,0,135000,273636,20043,-18057,2
1,Cash loans,F,N,Y,0,225000,1264522.5,41922,-17066,3
0,Cash loans,F,N,Y,0,,834048,27693,-18928,3
0,Cash loans,M,Y,N,0,,134775,9247.5,-11574,12
0,Cash loans,F,,N,0,117000,808650,26086.5,-21642,5
0,Cash loans,M,Y,N,2,,500211,25537.5,-12394,0
